"date", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr", "ISD_precip_03hr", "ISD_precip_06hr", "ISD_precip_12hr", "ISD_precip_24hr"
2010-01-03 09:52:00, -13.3, 0, 1026.6, 0, 0, 0, NA, NA, NA, NA
2010-01-03 10:52:00, -13.9, 1, 1026.8, 1.5, 160, 0, NA, NA, NA, NA
2010-01-03 11:52:00, -11.7, 0.875, 1027.4, 8.8, 10, 0, NA, NA, NA, NA
2010-01-03 12:00:00, -11.7, 0.75, 1027.4, 8.7, 10, NA, NA, NA, NA, NA
2010-01-03 12:52:00, -10, 1, 1028.1, 7.7, 360, 0, NA, NA, NA, NA
2010-01-03 13:18:00, -10, 1, NA, 6.2, 10, NA, NA, NA, NA, NA
2010-01-03 13:52:00, -9.4, 1, 1029.2, 5.7, 360, 0, NA, NA, NA, NA
2010-01-03 14:13:00, -9, 1, NA, 5.7, 10, NA, NA, NA, NA, NA
2010-01-03 14:49:00, -9, 1, NA, 6.2, 10, NA, NA, NA, NA, NA
2010-01-03 14:52:00, -9.4, 1, 1030.4, 5.7, 10, 0, NA, NA, NA, NA
2010-01-03 14:59:00, -9, 1, NA, 4.1, 10, NA, NA, NA, NA, NA
2010-01-03 15:00:00, -9.4, 1, 1030.4, 5.7, 10, NA, NA, NA, NA, NA
2010-01-03 15:04:00, -9, 1, NA, 3.6, 10, NA, NA, NA, NA, NA
2010-01-03 15:52:00, -8.9, 1, 1031.6, 1.5, 10, 0, NA, NA, NA, NA
2010-01-03 16:52:00, -9.4, 1, 1032.2, 1.5, 40, 0, NA, NA, NA, NA
2010-01-03 17:52:00, -9.4, 1, 1032, 1.5, 360, 0, NA, NA, NA, NA
2010-01-03 18:00:00, -9.4, 1, 1032, 1.5, 360, NA, NA, NA, NA, NA
2010-01-03 18:52:00, -8.9, 1, 1031.8, 2.1, 10, 0, NA, NA, NA, NA
2010-01-03 19:52:00, -8.9, 1, 1031.1, 1.5, 20, 0, NA, NA, NA, NA
2010-01-03 20:52:00, -9.4, 1, 1031.5, 2.6, 20, 0, NA, NA, NA, NA
2010-01-03 21:00:00, -9.4, 1, 1031.5, 2.6, 20, NA, NA, NA, NA, NA
2010-01-03 21:52:00, -9.4, 1, 1031.8, 2.1, 20, 0, NA, NA, NA, NA
2010-01-03 22:52:00, -9.4, 1, 1032.4, 3.6, 20, 0, NA, NA, NA, NA
2010-01-03 23:11:00, -11, 1, NA, 5.1, 20, NA, NA, NA, NA, NA
2010-01-03 23:52:00, -11.1, 1, 1033.4, 4.6, 20, 0, NA, NA, NA, NA
2010-01-04 00:00:00, -11.1, 1, 1033.4, 4.6, 20, NA, NA, NA, NA, NA
2010-01-04 00:52:00, -11.7, 1, 1033.2, 3.1, 20, 0, NA, NA, NA, NA
2010-01-04 01:04:00, -12, 1, NA, 3.1, 360, NA, NA, NA, NA, NA
2010-01-04 01:52:00, -12.2, 1, 1033.6, 4.1, 10, 0, NA, NA, NA, NA
2010-01-04 02:52:00, -12.2, 1, 1033.8, 3.6, 30, 0, NA, NA, NA, NA
2010-01-04 03:00:00, -12.2, 1, 1033.8, 3.6, 30, NA, NA, NA, NA, NA
2010-01-04 03:52:00, -12.2, 1, 1033.6, 2.6, 20, 0, NA, NA, NA, NA
2010-01-04 04:34:00, -12, 1, NA, 0, 0, NA, NA, NA, NA, NA
2010-01-04 04:52:00, -11.1, 1, 1033.6, 0, 0, 0, NA, NA, NA, NA
2010-01-04 05:50:00, -11, 1, NA, 0, 0, NA, NA, NA, NA, NA
2010-01-04 05:51:00, -11.1, 1, 1033.5, 0, 0, 0, NA, NA, NA, NA
2010-01-04 06:00:00, -11.1, 1, 1033.5, 0, 0, NA, NA, NA, NA, NA
2010-01-04 06:05:00, -11, 1, NA, 0, 0, NA, NA, NA, NA, NA
2010-01-04 06:15:00, -11, 1, NA, 0, 0, NA, NA, NA, NA, NA
2010-01-04 06:52:00, -11.1, 1, 1033.1, 0, 0, 0, NA, NA, NA, NA
2010-01-04 06:59:00, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0
2010-01-04 07:50:00, -11, NA, NA, 1.5, 130, NA, NA, NA, NA, NA
2010-01-04 07:52:00, -11.1, 1, 1032.6, 1.5, 130, 0, NA, NA, NA, NA
2010-01-04 07:56:00, -11, 1, NA, 1.5, 130, NA, NA, NA, NA, NA
2010-01-04 08:04:00, -11, 1, NA, 1.5, 120, NA, NA, NA, NA, NA
2010-01-04 08:16:00, -11, NA, NA, 1.5, 140, NA, NA, NA, NA, NA
2010-01-04 08:32:00, -11, 1, NA, 1.5, 110, NA, NA, NA, NA, NA
2010-01-04 08:47:00, -11, 1, NA, 0, 0, NA, NA, NA, NA, NA
2010-01-04 08:52:00, -11.1, 1, 1032.7, 1.5, 120, 0, NA, NA, NA, NA
2010-01-04 08:55:00, -11, 1, 1032.7, 0, 0, NA, NA, NA, NA, NA
2010-01-04 09:09:00, -11, 1, NA, 0, 0, NA, NA, NA, NA, NA
2010-01-04 09:52:00, -11.1, 1, 1032.7, 0, 0, 0, NA, NA, NA, NA
