date," ""temperature_degC"""," ""dewpoint_degC"""," ""cloud_fraction"""," ""press_msl_hPa"""," ""wind_spd_ms"""," ""wind_dir_degrees"""
1/6/10 17:00,-15.6,-18.9,1,1032.026667,17.36666667,330
1/6/10 18:00,-15.6,-18.9,1,1032.2,16.4,330
1/6/10 19:00,-15.65714286,-18.91428571,0.857142857,1031.9,18.07142857,330
1/6/10 20:00,-15.65517241,-18.9137931,0,1032.033333,17.06896552,330
1/6/10 21:00,-15.6,-19.4,0,1032.9,17,340
1/6/10 22:00,-16.06190476,-20,0,1034.726667,15.50952381,330
1/6/10 23:00,-17,-21,0,1036.306667,13.35833333,330
1/7/10 00:00,-17.2,-22.2,0,1037,12.3,330
1/7/10 01:00,-17.86666667,-22.28,0,1038.093333,11.44666667,331.3333333
1/7/10 02:00,-18.44666667,-22.86666667,0,1038.833333,12.32,340
1/7/10 03:00,-19.4,-23.3,0,1039.7,11.8,340
1/7/10 04:00,-19.56,-24.48,0,1040.466667,9.8,338.6666667
1/7/10 05:00,-20.6,-25.08,0,1040.966667,9.32,330
1/7/10 06:00,-20.6,-25.6,0,1041.4,6.2,330
1/7/10 07:00,-20.52,-25.52,0.116666667,1040.486667,9.733333333,331.3333333
1/7/10 08:00,-20.08,-25,0.891666667,1040.48,9.233333333,341.3333333
1/7/10 09:00,-20.6,-25,1,1041,8.7,350
1/7/10 10:00,-20,-24.92,1,1041.3,11.16666667,340
1/7/10 11:00,-20,-24.48,1,1041.353333,9.886666667,340
1/7/10 12:00,-20,-25,1,1041.7,7.2,340
1/7/10 13:00,-21.1,-25.66666667,0.758333333,1042.166667,5.9,348.6666667
1/7/10 14:00,-21.18,-26.1,0,1042.68,6.92,340
1/7/10 15:00,-21.7,-26.1,0,1043.2,5.1,340
1/7/10 16:00,-20.87333333,-25.52,0,1043.313333,4.813333333,342.6666667
1/7/10 17:00,-19.25333333,-24.85333333,0,1043.32,6.546666667,358.6666667
1/7/10 18:00,-18.3,-23.9,0,1042.8,8.7,350
1/7/10 19:00,-17.8,-23.3,0,1042.16,9.433333333,351.3333333
1/7/10 20:00,-17.8,-23.3,0,1041.86,10.3,360
1/7/10 21:00,-17.8,-23.3,0,1041.6,10.3,360
1/7/10 22:00,-18.38,-23.38,0,1042.4,4.4,356
