total_stations: 259
0.27321232032854215 133.42348418891171
00229:00259; GHCND:CA1SK000002; REGINA 3.8 NW, CA
00230:00259; GHCND:CA1SK000003; VIBANK 0.1 N, CA
00231:00259; GHCND:CA1SK000008; MOOSE JAW 2.4 WSW, CA
00232:00259; GHCND:CA1SK000009; CRAVEN 4.6 E, CA
00233:00259; GHCND:CA1SK000010; PENSE 12.3 NNW, CA
00234:00259; GHCND:CA1SK000022; MOOSE JAW 3.3 NW, CA
00235:00259; GHCND:CA1SK000027; GRAVELBOURG 11.6 S, CA
00236:00259; GHCND:CA1SK000030; SWIFT CURRENT 1.75 S, CA
00237:00259; GHCND:CA1SK000033; BUSHELL PARK 13.4 SW, CA
00238:00259; GHCND:CA1SK000036; REGINA 3.85 S, CA
00239:00259; GHCND:CA1SK000050; DILKE 8.2 ESE, CA
00240:00259; GHCND:CA1SK000056; LIMERICK 0.1 W, CA
00241:00259; GHCND:CA1SK000077; LAC PELLETIER 2.1 SSW, CA
00242:00259; GHCND:CA1SK000085; CARON 6.9 SSE, CA
00243:00259; GHCND:CA1SK000086; REGINA 4.2 SW, CA
00244:00259; GHCND:CA1SK000093; LUMSDEN 5.4 SSW, CA
00245:00259; GHCND:CA1SK000098; REGINA 7.6 NW, CA
00246:00259; GHCND:CA1SK000103; SWIFT CURRENT 1.6 ENE, CA
00247:00259; GHCND:CA1SK000107; WEYBURN 1 E, CA
00248:00259; GHCND:CA1SK000116; REGINA 4.0 E, CA
00249:00259; GHCND:CA1SK000117; LUCKY LAKE 2.7 ESE, CA
00250:00259; GHCND:CA1SK000118; KYLE 18.0 ESE, CA
00251:00259; GHCND:CA1SK000122; REGINA 2.9 W, CA
00252:00259; GHCND:CA1SK000159; RADVILLE 18.4 SW 4H, CA
00253:00259; GHCND:CA1SK000175; REGINA 5.6 SE, CA
00254:00259; GHCND:CA1SK000187; SHAUNAVON 18.1 N, CA
00255:00259; GHCND:CA1SK000189; REGINA 1.7 W, CA
00256:00259; GHCND:CA1SK000190; DAVIN 6.4 WSW, CA
00257:00259; GHCND:CA1SK000197; MOOSE JAW 1.0 WSW, CA
00258:00259; GHCND:CA1SK000200; FORT QU APPELLE 1.3 WSW, CA
00259:00259; GHCND:CA1SK000212; WEYBURN 1.4 S, CA
