Full_Zone_Code,State_Name,Zone_Name,Center_Lon,Center_Lat
1208,Indiana,South Central,-86.30678276,38.63565244
1209,Indiana,Southeast,-85.34112015,38.95657801
1301,Iowa,Northwest,-95.49010728,43.02953978
1302,Iowa,North Central,-93.48173332,43.03853737
1303,Iowa,Northeast,-91.74750986,42.85467483
1304,Iowa,West Central,-95.26294364,42.04463303
1305,Iowa,Central,-93.33866671,42.04004266
1306,Iowa,East Central,-91.26352205,41.88539706
1307,Iowa,Southwest,-95.12588829,41.06644652
1308,Iowa,South Central,-93.43786483,41.0330121
1309,Iowa,Southeast,-91.78844796,41.01914019
1401,Kansas,Northwest,-100.8319966,39.56679675
1402,Kansas,North Central,-98.22506554,39.56108984
1403,Kansas,Northeast,-95.87849153,39.52354146
1404,Kansas,West Central,-100.8156889,38.69826784
1405,Kansas,Central,-98.19944856,38.66214973
1406,Kansas,East Central,-95.76095794,38.59725092
1407,Kansas,Southwest,-100.8029916,37.62936336
1408,Kansas,South Central,-98.39166277,37.61975612
1409,Kansas,Southeast,-95.90245384,37.5380631
1501,Kentucky,Western,-88.63871342,36.83802708
1502,Kentucky,Central,-85.81789589,37.351519
1503,Kentucky,Blue Grass,-84.56350767,38.23841778
1504,Kentucky,Eastern,-83.48084271,37.47882302
1601,Louisiana,Northwest,-93.63303317,32.44732109
1602,Louisiana,North Central,-92.59488691,32.42943056
1603,Louisiana,Northeast,-91.52390962,32.44620656
1604,Louisiana,West Central,-93.25328734,31.45202814
1605,Louisiana,Central,-92.16360797,31.21966606
1606,Louisiana,East Central,-90.69733598,30.65146956
1607,Louisiana,Southwest,-92.92387511,30.18963542
1608,Louisiana,South Central,-91.51565259,30.02582694
1609,Louisiana,Southeast,-89.73983934,29.89982931
1701,Maine,North,-69.29810422,46.03142149
1702,Maine,South Interior,-69.22466793,44.7379716
1703,Maine,Coastal,-69.11689512,44.05251823
1801,Maryland,Southeastern Shore,-75.91071204,38.1230223
1802,Maryland,Central Eastern Shore,-75.99389859,38.64979875
1803,Maryland,Lower Southern,-76.75677237,38.43515871
1804,Maryland,Upper Southern,-76.873667,-76.873667
1805,Maryland,Northeastern Shore,-76.03535313,39.14558111
1806,Maryland,North Central,-76.81513368,39.43529363
1807,Maryland,Appalachian Mountains,-78.23471237,39.61005293
1808,Maryland,Allegheny Plateau,-79.26882998,39.53201417
1901,Massachusetts,West,-73.07624152,42.36553791
1902,Massachusetts,Central,-71.87090946,42.36573689
1903,Massachusetts,Coastal,-70.51827982,41.63267835
2001,Michigan,West Upper,-88.43434213,46.41447993
2002,Michigan,East Upper,-85.63163814,45.94257563
2003,Michigan,Northwest Lower,-85.84068783,44.956057
2004,Michigan,Northeast Lower,-84.294246,45.30493438
2005,Michigan,West Central Lower,-86.0231123,43.68542501
2006,Michigan,Central Lower,-84.87965,43.67377131
2007,Michigan,East Central Lower,-83.42540232,43.58331389
2008,Michigan,Southwest Lower,-85.89005642,42.4775215
2009,Michigan,South Central Lower,-84.80383033,42.43693935
2010,Michigan,Southeast Lower,-83.45924493,42.54073045
2101,Minnesota,Northwest,-96.14150985,47.86704771
2102,Minnesota,North Central,-94.30706704,47.81437952
2103,Minnesota,Northeast,-91.94948234,47.65031815
2104,Minnesota,West Central,-95.89064885,45.71754804
2105,Minnesota,Central,-94.46295447,45.39224264
2106,Minnesota,East Central,-93.26928196,46.05766268
2107,Minnesota,Southwest,-95.68328654,44.05002722
2108,Minnesota,South Central,-93.96565004,44.00097909
2109,Minnesota,Southeast,-92.3725125,44.03167122
2201,Mississippi,Upper Delta,-90.51669434,34.11013791
2202,Mississippi,North Central,-89.65147661,34.39598042
2203,Mississippi,Northeast,-88.66374786,34.52143947
2204,Mississippi,Lower Delta,-90.63180288,33.14477081
2205,Mississippi,Central,-89.73188869,32.95087221
2206,Mississippi,East Central,-88.74634561,33.31507797
2207,Mississippi,Southwest,-90.81265128,31.70990128
2208,Mississippi,South Central,-89.83662649,31.52631718
2209,Mississippi,Southeast,-88.9035755,31.75646596
2210,Mississippi,Coastal,-89.11128895,30.64646605
2301,Missouri,Northwest Prairie,-93.957244,39.80008873
2302,Missouri,Northeast Prairie,-91.71437988,39.32736616
2303,Missouri,West Central Plains,-93.46782254,38.33128369
2304,Missouri,West Ozarks,-93.3571414,37.11819368
2305,Missouri,East Ozarks,-91.06401453,37.45319584
2306,Missouri,Bootheel,-89.86579133,36.65098372
2401,Montana,Western,-114.2456982,47.47512573
2402,Montana,Southwestern,-112.2802896,45.3889987
2403,Montana,North Central,-110.3533812,48.33028978
2404,Montana,Central,-110.2723674,46.93366539
2405,Montana,South Central,-108.8280264,45.6120678
2406,Montana,Northeastern,-105.8431434,47.92620947
2407,Montana,Southeastern,-105.5277548,46.07378274
2501,Nebraska,Panhandle,-103.0479472,41.99666918
2502,Nebraska,North Central,-100.2907237,42.2776482
2503,Nebraska,Northeast,-97.37496433,42.20607724
2505,Nebraska,Central,-99.2617796,41.2131237
2506,Nebraska,East Central,-97.07703906,41.17620607
2507,Nebraska,Southwest,-101.1072276,40.69092
2508,Nebraska,South Central,-99.19342614,40.33195822
2509,Nebraska,Southeast,-96.91999811,40.33887789
2601,Nevada,Northwestern,-118.6701603,40.52438592
2602,Nevada,Northeastern,-115.6165564,40.40372364
2603,Nevada,South Central,-116.3683018,38.00516246
2604,Nevada,Extreme Southern,-115.1502335,36.37374148
2701,New Hampshire,North,-71.52926572,44.4063558
2702,New Hampshire,South,-71.60284393,43.32268895
2801,New Jersey,Northern,-74.60573546,40.84182364
2802,New Jersey,Southern,-74.71450425,39.82188629
2803,New Jersey,Coastal,-74.40406353,39.55717366
2901,New Mexico,Northwestern Plateau,-108.1925276,36.05809342
2902,New Mexico,Northern Mountains,-105.6837562,36.18235193
2903,New Mexico,Northeastern Plains,-103.6579243,35.36479303
2904,New Mexico,Southwestern Mountains,-108.0203698,34.09856646
2905,New Mexico,Central Valley,-106.717727,33.93815925
2906,New Mexico,Central Highlands,-105.7444684,34.15546254
2907,New Mexico,Southeastern Plains,-104.2956744,33.41995599
2908,New Mexico,Southern Desert,-107.3461078,32.35691541
3001,New York,Western Plateau,-77.89465803,42.24660127
3002,New York,Eastern Plateau,-75.11588518,42.29867376
3003,New York,Northern Plateau,-74.68910612,43.86006104
3004,New York,Coastal,-73.06439753,40.84309759
3005,New York,Hudson Valley,-73.77800791,42.21175483
3006,New York,Mohawk Valley,-74.92383978,43.10102658
3007,New York,Champlain Valley,-73.62873038,44.26677387
3008,New York,St. Lawrence Valley,-74.87121035,44.65202849
3009,New York,Great Lakes,-77.58447463,43.16927022
3010,New York,Central Lakes,-77.04151034,42.739516
3101,North Carolina,Southern Mountains,-82.78507949,35.47655044
3102,North Carolina,Northern Mountains,-81.23714561,36.24135974
3103,North Carolina,Northern Piedmont,-79.21975856,36.23696478
3104,North Carolina,Central Piedmont,-79.96506298,35.74182216
3105,North Carolina,Southern Piedmont,-80.40619245,35.22262811
3106,North Carolina,Southern Coastal Plain,-78.44465657,34.69325103
3107,North Carolina,Central Coastal Plain,-76.60973256,34.99902276
3108,North Carolina,Northern Coastal Plain,-75.98707126,36.03712332
3201,North Dakota,Northwest,-102.5442813,48.4426034
3202,North Dakota,North Central,-100.2195576,48.41032718
3203,North Dakota,Northeast,-98.1729129,48.38970278
3204,North Dakota,West Central,-102.3345732,47.51651393
3205,North Dakota,Central,-99.42399381,47.27763172
3206,North Dakota,East Central,-97.64803396,47.15028262
3207,North Dakota,Southwest,-103.1154718,46.56072728
3208,North Dakota,South Central,-100.9481306,46.52827527
3209,North Dakota,Southeast,-98.26459016,46.28021587
3301,Ohio,Northwest,-84.12011618,41.22748165
3302,Ohio,North Central,-82.86157022,41.17144231
