"date", "precipitation", "snowfall", "snowdepth", "snowdepth_water_equiv", "snowfall_water_equiv"
2017-10-06, 0, 0, 0, NA, NA
2017-10-07, 1, 0, 0, NA, NA
2017-10-08, 0, 0, 0, NA, NA
2017-10-09, 0, 0, 0, NA, NA
2017-10-10, 0, 0, 0, NA, NA
2017-10-11, 40.6, 0, 0, NA, NA
2017-10-12, 0, 0, 0, NA, NA
2017-10-13, 3.8, 0, 0, NA, NA
2017-10-14, 15.7, 0, 0, NA, NA
2017-10-15, 0, 0, 0, NA, NA
2017-10-16, 0, 0, 0, NA, NA
2017-10-17, 0, 0, 0, NA, NA
2017-10-18, 1, 0, 0, NA, NA
2017-10-19, 0, 0, 0, NA, NA
2017-10-20, 0, 0, 0, NA, NA
2017-10-21, 6.1, 0, 0, NA, NA
2017-10-22, 5.6, 0, 0, NA, NA
2017-10-23, 4.1, 0, 0, NA, NA
2017-10-24, 2, 0, 0, NA, NA
2017-10-25, 0, 0, 0, NA, NA
2017-10-26, 0, 0, 0, NA, NA
2017-10-27, 0, 0, 0, NA, NA
2017-10-28, 0, 0, 0, NA, NA
2017-10-29, 0, 0, 0, NA, NA
2017-10-30, 2.5, 0, 0, NA, NA
2017-10-31, 4.6, 0, 0, NA, NA
2017-11-01, 0, 0, 0, NA, NA
2017-11-02, 0, 0, 0, NA, NA
2017-11-03, 0.3, 0, 0, NA, NA
2017-11-04, 1.5, 0, 0, NA, NA
2017-11-05, 0, 0, 0, NA, NA
2017-11-06, 7.6, 0, 0, NA, NA
2017-11-07, 0, 0, 0, NA, NA
2017-11-08, 0, 0, 0, NA, NA
2017-11-09, 0, 0, 0, NA, NA
2017-11-10, 0, 0, 0, NA, NA
2017-11-11, 0, 0, 0, NA, NA
2017-11-12, 0.8, 0, 0, NA, NA
2017-11-13, 0, 0, 0, NA, NA
2017-11-14, 0, 0, 0, NA, NA
2017-11-15, 0, 0, 0, NA, NA
2017-11-16, 0, 0, 0, NA, NA
2017-11-17, 0, 0, 0, NA, NA
2017-11-18, 0, 0, 0, NA, NA
2017-11-19, 0, 0, 0, NA, NA
2017-11-20, 0, 0, 0, NA, NA
2017-11-21, 0, 0, 0, NA, NA
2017-11-22, 0, 0, 0, NA, NA
2017-11-23, 0, 0, 0, NA, NA
2017-11-24, 0, 0, 0, NA, NA
2017-11-25, 0, 0, 0, NA, NA
2017-11-26, 0, 0, 0, NA, NA
2017-11-27, 0.3, 5, 0, NA, NA
2017-11-28, 0, 3, 0, NA, NA
2017-11-29, 0, 0, 0, NA, NA
2017-11-30, 0.5, 0, 0, NA, NA
2017-12-01, 1.8, 18, 13, NA, NA
2017-12-02, 0, 0, 0, NA, NA
2017-12-03, 0.5, 10, 13, NA, NA
2017-12-04, 0, 0, 0, NA, NA
2017-12-05, 0, 0, 0, NA, NA
2017-12-06, 0, 0, 0, NA, NA
2017-12-07, 0, 0, 0, NA, NA
2017-12-08, 0, 0, 0, NA, NA
2017-12-09, 0, 0, 0, NA, NA
2017-12-10, 0, 0, 0, NA, NA
2017-12-11, 0, 0, 0, NA, NA
2017-12-12, 0, 0, 0, NA, NA
2017-12-13, 0, 0, 0, NA, NA
2017-12-14, 0, 0, 0, NA, NA
2017-12-15, 3.3, 5, 0, NA, NA
2017-12-16, 0.5, 0, 0, NA, NA
2017-12-17, 0, 0, 0, NA, NA
2017-12-18, 0, 0, 0, NA, NA
2017-12-19, 0, 0, 0, NA, NA
2017-12-20, 0, 0, 0, NA, NA
2017-12-21, 0, 0, 0, NA, NA
2017-12-22, 0, 0, 0, NA, NA
2017-12-23, 0, 0, 0, NA, NA
2017-12-24, 0, 0, 0, NA, NA
2017-12-25, 0, 0, 0, NA, NA
2017-12-26, 0, 0, 0, NA, NA
2017-12-27, 0, 0, 0, NA, NA
2017-12-28, 0, 0, 0, NA, NA
2017-12-29, 0, 0, 0, NA, NA
2017-12-30, 0, 0, 0, NA, NA
2017-12-31, 0, 0, 0, NA, NA
2018-01-01, 0.3, 3, 0, NA, NA
2018-01-02, 0.3, 5, 0, NA, NA
2018-01-03, 1.3, 25, 25, NA, NA
2018-01-04, 3, 51, 64, NA, NA
2018-01-05, 0, 0, 38, NA, NA
2018-01-06, 0, 0, 0, NA, NA
2018-01-07, 0, 0, 0, NA, NA
2018-01-08, 0, 0, 0, NA, NA
2018-01-09, 0, 0, 0, NA, NA
2018-01-10, 0, 0, 0, NA, NA
2018-01-11, 0, 0, 0, NA, NA
2018-01-12, 0.3, 5, 0, NA, NA
2018-01-13, 0, 0, 0, NA, NA
2018-01-14, 0.8, 18, 13, NA, NA
2018-01-15, 0, 0, 0, NA, NA
2018-01-16, 0, 0, 0, NA, NA
2018-01-17, 0, 0, 0, NA, NA
2018-01-18, 1.8, 51, 51, NA, NA
2018-01-19, 0, 0, 51, NA, NA
2018-01-20, 1, 30, 64, NA, NA
2018-01-21, 0, 0, 64, NA, NA
2018-01-22, 0, 0, 51, NA, NA
2018-01-23, 1, 15, 64, NA, NA
2018-01-24, 0, 0, 51, NA, NA
2018-01-25, 0, 0, 51, NA, NA
